State,year,D-ad-spending,R-ad-spending
Florida,2012,111.0,56.0
Ohio,2012,97.0,48.0
Virginia,2012,82.0,41.0
Colorado,2012,46.0,23.0
North Carolina,2012,37.0,28.0
Florida,2016,77.0,38.0
Ohio,2016,46.0,19.0
North Carolina,2016,33.0,16.0
Pennsylvania,2016,29.0,15.0
Nevada,2016,25.0,9.0
Iowa,2016,16.0,2.6
Colorado,2016,11.0,6.0
New Hampshire,2016,11.0,5.2
Virginia,2016,6.6,5.1
Wisconsin,2016,2.7,6.7
Michigan,2016,2.6,1.6
Maine,2016,0.4,0.7
New Mexico,2016,0.1,0.2
Florida,2020,220.0,121.0
Pennsylvania,2020,177.0,91.0
North Carolina,2020,68.0,87.0
Michigan,2020,114.0,37.0
Arizona,2020,82.0,58.0
Wisconsin,2020,82.0,46.0
Georgia,2020,19.0,38.0
Nevada,2020,27.0,8.0
Minnesota,2020,23.0,12.0
Ohio,2020,17.0,12.0
Texas,2020,23.0,9.0
Iowa,2020,9.0,20.0
Nebraska,2020,4.6,1.9
New Hampshire,2020,4.4,0.3
Maine,2020,2.1,2.4
Pennsylvania,2024,159.0,105.0
Michigan,2024,151.0,52.0
Georgia,2024,137.0,87.0
Arizona,2024,91.0,61.0
Wisconsin,2024,128.0,128.0
Nevada,2024,21.0,7.0
North Carolina,2024,109.0,109.0
